INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	FLOAT	FLOAT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	FLOAT	FLOAT	INT
31100009	特级团队急速	全体友军先攻+{{n1}}%	t_skill_name_31100009	t_skill_desc_31100009			2																													2	10	15	0.75							
31100010	究极团队急速	全体友军先攻+{{n1}}%	t_skill_name_31100010	t_skill_desc_31100010			2																													2	10	17	0.85							
30110001	初级暴击	暴击+{{n1}}%	t_skill_name_30110001	t_skill_desc_30110001			2																													1	11	6	0.3							
30110002	中级暴击	暴击+{{n1}}%	t_skill_name_30110002	t_skill_desc_30110002			2																													1	11	9	0.45							
30110003	高级暴击	暴击+{{n1}}%	t_skill_name_30110003	t_skill_desc_30110003			2																													1	11	12	0.6							
30110004	特级暴击	暴击+{{n1}}%	t_skill_name_30110004	t_skill_desc_30110004			2																													1	11	15	0.75							
30110005	究极暴击	暴击+{{n1}}%	t_skill_name_30110005	t_skill_desc_30110005			2																													1	11	18	0.9							
30110006	初级必杀	暴击+{{n1}}%	t_skill_name_30110006	t_skill_desc_30110006			2																													1	11	21	1.05							
30110007	中级必杀	暴击+{{n1}}%	t_skill_name_30110007	t_skill_desc_30110007			2																													1	11	24	1.2							
30110008	高级必杀	暴击+{{n1}}%	t_skill_name_30110008	t_skill_desc_30110008			2																													1	11	27	1.35							
30110009	特级必杀	暴击+{{n1}}%	t_skill_name_30110009	t_skill_desc_30110009			2																													1	11	30	1.5							
30110010	究极必杀	暴击+{{n1}}%	t_skill_name_30110010	t_skill_desc_30110010			2																													1	11	33	1.65							
31110006	初级团队必杀	全体友军暴击+{{n1}}%	t_skill_name_31110006	t_skill_desc_31110006			2																													2	11	9	0.45							
31110007	中级团队必杀	全体友军暴击+{{n1}}%	t_skill_name_31110007	t_skill_desc_31110007			2																													2	11	11	0.55							
31110008	高级团队必杀	全体友军暴击+{{n1}}%	t_skill_name_31110008	t_skill_desc_31110008			2																													2	11	13	0.65							
31110009	特级团队必杀	全体友军暴击+{{n1}}%	t_skill_name_31110009	t_skill_desc_31110009			2																													2	11	15	0.75							
31110010	究极团队必杀	全体友军暴击+{{n1}}%	t_skill_name_31110010	t_skill_desc_31110010			2																													2	11	17	0.85							
30120001	初级格挡	格挡+{{n1}}%	t_skill_name_30120001	t_skill_desc_30120001			2																													1	12	6	0.3							
30120002	中级格挡	格挡+{{n1}}%	t_skill_name_30120002	t_skill_desc_30120002			2																													1	12	9	0.45							
30120003	高级格挡	格挡+{{n1}}%	t_skill_name_30120003	t_skill_desc_30120003			2																													1	12	12	0.6							
30120004	特级格挡	格挡+{{n1}}%	t_skill_name_30120004	t_skill_desc_30120004			2																													1	12	15	0.75							
30120005	究极格挡	格挡+{{n1}}%	t_skill_name_30120005	t_skill_desc_30120005			2																													1	12	18	0.9							
30120006	初级招架	格挡+{{n1}}%	t_skill_name_30120006	t_skill_desc_30120006			2																													1	12	21	1.05							
30120007	中级招架	格挡+{{n1}}%	t_skill_name_30120007	t_skill_desc_30120007			2																													1	12	24	1.2							
30120008	高级招架	格挡+{{n1}}%	t_skill_name_30120008	t_skill_desc_30120008			2																													1	12	27	1.35							
30120009	特级招架	格挡+{{n1}}%	t_skill_name_30120009	t_skill_desc_30120009			2																													1	12	30	1.5							
30120010	究极招架	格挡+{{n1}}%	t_skill_name_30120010	t_skill_desc_30120010			2																													1	12	33	1.65							
31120006	初级团队招架	全体友军格挡+{{n1}}%	t_skill_name_31120006	t_skill_desc_31120006			2																													2	12	9	0.45							
31120007	中级团队招架	全体友军格挡+{{n1}}%	t_skill_name_31120007	t_skill_desc_31120007			2																													2	12	11	0.55							
31120008	高级团队招架	全体友军格挡+{{n1}}%	t_skill_name_31120008	t_skill_desc_31120008			2																													2	12	13	0.65							
31120009	特级团队招架	全体友军格挡+{{n1}}%	t_skill_name_31120009	t_skill_desc_31120009			2																													2	12	15	0.75							
31120010	究极团队招架	全体友军格挡+{{n1}}%	t_skill_name_31120010	t_skill_desc_31120010			2																													2	12	17	0.85							
30140001	初级物免	物免+{{n1}}%	t_skill_name_30140001	t_skill_desc_30140001			2																													1	14	6	0.3							
30140002	中级物免	物免+{{n1}}%	t_skill_name_30140002	t_skill_desc_30140002			2																													1	14	9	0.45							
30140003	高级物免	物免+{{n1}}%	t_skill_name_30140003	t_skill_desc_30140003			2																													1	14	12	0.6							
30140004	特级物免	物免+{{n1}}%	t_skill_name_30140004	t_skill_desc_30140004			2																													1	14	15	0.75							
30140005	究极物免	物免+{{n1}}%	t_skill_name_30140005	t_skill_desc_30140005			2																													1	14	20	1							
30150001	初级魔免	魔免+{{n1}}%	t_skill_name_30150001	t_skill_desc_30150001			2																													1	15	6	0.3							
30150002	中级魔免	魔免+{{n1}}%	t_skill_name_30150002	t_skill_desc_30150002			2																													1	15	9	0.45							
30150003	高级魔免	魔免+{{n1}}%	t_skill_name_30150003	t_skill_desc_30150003			2																													1	15	12	0.6							
30150004	特级魔免	魔免+{{n1}}%	t_skill_name_30150004	t_skill_desc_30150004			2																													1	15	15	0.75							
30150005	究极魔免	魔免+{{n1}}%	t_skill_name_30150005	t_skill_desc_30150005			2																													1	15	20	1							
30160001	初级命中	命中+{{n1}}%	t_skill_name_30160001	t_skill_desc_30160001			2																													1	16	6	0.3							
30160002	中级命中	命中+{{n1}}%	t_skill_name_30160002	t_skill_desc_30160002			2																													1	16	9	0.45							
30160003	高级命中	命中+{{n1}}%	t_skill_name_30160003	t_skill_desc_30160003			2																													1	16	12	0.6							
30160004	特级命中	命中+{{n1}}%	t_skill_name_30160004	t_skill_desc_30160004			2																													1	16	15	0.75							
30160005	究极命中	命中+{{n1}}%	t_skill_name_30160005	t_skill_desc_30160005			2																													1	16	18	0.9							
30160006	初级必中	命中+{{n1}}%	t_skill_name_30160006	t_skill_desc_30160006			2																													1	16	21	1.05							
30160007	中级必中	命中+{{n1}}%	t_skill_name_30160007	t_skill_desc_30160007			2																													1	16	24	1.2							
30160008	高级必中	命中+{{n1}}%	t_skill_name_30160008	t_skill_desc_30160008			2																													1	16	27	1.35							
30160009	特级必中	命中+{{n1}}%	t_skill_name_30160009	t_skill_desc_30160009			2																													1	16	30	1.5							
30160010	究极必中	命中+{{n1}}%	t_skill_name_30160010	t_skill_desc_30160010			2																													1	16	33	1.65							
31160006	初级团队必中	全体友军命中+{{n1}}%	t_skill_name_31160006	t_skill_desc_31160006			2																													2	16	9	0.45							
31160007	中级团队必中	全体友军命中+{{n1}}%	t_skill_name_31160007	t_skill_desc_31160007			2																													2	16	11	0.55							
31160008	高级团队必中	全体友军命中+{{n1}}%	t_skill_name_31160008	t_skill_desc_31160008			2																													2	16	13	0.65							
31160009	特级团队必中	全体友军命中+{{n1}}%	t_skill_name_31160009	t_skill_desc_31160009			2																													2	16	15	0.75							
31160010	究极团队必中	全体友军命中+{{n1}}%	t_skill_name_31160010	t_skill_desc_31160010			2																													2	16	17	0.85							
30170001	初级闪避	闪避+{{n1}}%	t_skill_name_30170001	t_skill_desc_30170001			2																													1	17	6	0.3							
30170002	中级闪避	闪避+{{n1}}%	t_skill_name_30170002	t_skill_desc_30170002			2																													1	17	9	0.45							
30170003	高级闪避	闪避+{{n1}}%	t_skill_name_30170003	t_skill_desc_30170003			2																													1	17	12	0.6							
30170004	特级闪避	闪避+{{n1}}%	t_skill_name_30170004	t_skill_desc_30170004			2																													1	17	15	0.75							
30170005	究极闪避	闪避+{{n1}}%	t_skill_name_30170005	t_skill_desc_30170005			2																													1	17	18	0.9							
30170006	初级心眼	闪避+{{n1}}%	t_skill_name_30170006	t_skill_desc_30170006			2																													1	17	21	1.05							
30170007	中级心眼	闪避+{{n1}}%	t_skill_name_30170007	t_skill_desc_30170007			2																													1	17	24	1.2							
30170008	高级心眼	闪避+{{n1}}%	t_skill_name_30170008	t_skill_desc_30170008			2																													1	17	27	1.35							
30170009	特级心眼	闪避+{{n1}}%	t_skill_name_30170009	t_skill_desc_30170009			2																													1	17	30	1.5							
30170010	究极心眼	闪避+{{n1}}%	t_skill_name_30170010	t_skill_desc_30170010			2																													1	17	33	1.65							
31170006	初级团队心眼	全体友军闪避+{{n1}}%	t_skill_name_31170006	t_skill_desc_31170006			2																													2	17	9	0.45							
31170007	中级团队心眼	全体友军闪避+{{n1}}%	t_skill_name_31170007	t_skill_desc_31170007			2																													2	17	11	0.55							
31170008	高级团队心眼	全体友军闪避+{{n1}}%	t_skill_name_31170008	t_skill_desc_31170008			2																													2	17	13	0.65							
31170009	特级团队心眼	全体友军闪避+{{n1}}%	t_skill_name_31170009	t_skill_desc_31170009			2																													2	17	15	0.75							
31170010	究极团队心眼	全体友军闪避+{{n1}}%	t_skill_name_31170010	t_skill_desc_31170010			2																													2	17	17	0.85							
30180001	初级抗暴	抗暴+{{n1}}%	t_skill_name_30180001	t_skill_desc_30180001			2																													1	18	6	0.3							
30180002	中级抗暴	抗暴+{{n1}}%	t_skill_name_30180002	t_skill_desc_30180002			2																													1	18	9	0.45							
30180003	高级抗暴	抗暴+{{n1}}%	t_skill_name_30180003	t_skill_desc_30180003			2																													1	18	12	0.6							
30180004	特级抗暴	抗暴+{{n1}}%	t_skill_name_30180004	t_skill_desc_30180004			2																													1	18	15	0.75							
30180005	究极抗暴	抗暴+{{n1}}%	t_skill_name_30180005	t_skill_desc_30180005			2																													1	18	18	0.9							
30180006	初级护心	抗暴+{{n1}}%	t_skill_name_30180006	t_skill_desc_30180006			2																													1	18	21	1.05							
30180007	中级护心	抗暴+{{n1}}%	t_skill_name_30180007	t_skill_desc_30180007			2																													1	18	24	1.2							
30180008	高级护心	抗暴+{{n1}}%	t_skill_name_30180008	t_skill_desc_30180008			2																													1	18	27	1.35							
30180009	特级护心	抗暴+{{n1}}%	t_skill_name_30180009	t_skill_desc_30180009			2																													1	18	30	1.5							
30180010	究极护心	抗暴+{{n1}}%	t_skill_name_30180010	t_skill_desc_30180010			2																													1	18	33	1.65							
31180006	初级团队护心	全体友军抗暴+{{n1}}%	t_skill_name_31180006	t_skill_desc_31180006			2																													2	18	9	0.45							
31180007	中级团队护心	全体友军抗暴+{{n1}}%	t_skill_name_31180007	t_skill_desc_31180007			2																													2	18	11	0.55							
31180008	高级团队护心	全体友军抗暴+{{n1}}%	t_skill_name_31180008	t_skill_desc_31180008			2																													2	18	13	0.65							
31180009	特级团队护心	全体友军抗暴+{{n1}}%	t_skill_name_31180009	t_skill_desc_31180009			2																													2	18	15	0.75							
31180010	究极团队护心	全体友军抗暴+{{n1}}%	t_skill_name_31180010	t_skill_desc_31180010			2																													2	18	17	0.85							
30190001	初级穿透	穿透+{{n1}}%	t_skill_name_30190001	t_skill_desc_30190001			2																													1	19	6	0.3							
30190002	中级穿透	穿透+{{n1}}%	t_skill_name_30190002	t_skill_desc_30190002			2																													1	19	9	0.45							
30190003	高级穿透	穿透+{{n1}}%	t_skill_name_30190003	t_skill_desc_30190003			2																													1	19	12	0.6							
30190004	特级穿透	穿透+{{n1}}%	t_skill_name_30190004	t_skill_desc_30190004			2																													1	19	15	0.75							
30190005	究极穿透	穿透+{{n1}}%	t_skill_name_30190005	t_skill_desc_30190005			2																													1	19	18	0.9							
30190006	初级破格	穿透+{{n1}}%	t_skill_name_30190006	t_skill_desc_30190006			2																													1	19	21	1.05							
30190007	中级破格	穿透+{{n1}}%	t_skill_name_30190007	t_skill_desc_30190007			2																													1	19	24	1.2							
30190008	高级破格	穿透+{{n1}}%	t_skill_name_30190008	t_skill_desc_30190008			2																													1	19	27	1.35							
30190009	特级破格	穿透+{{n1}}%	t_skill_name_30190009	t_skill_desc_30190009			2																													1	19	30	1.5							
30190010	究极破格	穿透+{{n1}}%	t_skill_name_30190010	t_skill_desc_30190010			2																													1	19	33	1.65							
31190006	初级团队破格	全体友军穿透+{{n1}}%	t_skill_name_31190006	t_skill_desc_31190006			2																													2	19	9	0.45							
31190007	中级团队破格	全体友军穿透+{{n1}}%	t_skill_name_31190007	t_skill_desc_31190007			2																													2	19	11	0.55							
31190008	高级团队破格	全体友军穿透+{{n1}}%	t_skill_name_31190008	t_skill_desc_31190008			2																													2	19	13	0.65							
31190009	特级团队破格	全体友军穿透+{{n1}}%	t_skill_name_31190009	t_skill_desc_31190009			2																													2	19	15	0.75							
31190010	究极团队破格	全体友军穿透+{{n1}}%	t_skill_name_31190010	t_skill_desc_31190010			2																													2	19	17	0.85							
30200001	初级增伤	增伤+{{n1}}%	t_skill_name_30200001	t_skill_desc_30200001			2																													1	20	6	0.3							
30200002	中级增伤	增伤+{{n1}}%	t_skill_name_30200002	t_skill_desc_30200002			2																													1	20	9	0.45							
30200003	高级增伤	增伤+{{n1}}%	t_skill_name_30200003	t_skill_desc_30200003			2																													1	20	12	0.6							
30200004	特级增伤	增伤+{{n1}}%	t_skill_name_30200004	t_skill_desc_30200004			2																													1	20	15	0.75							
30200005	究极增伤	增伤+{{n1}}%	t_skill_name_30200005	t_skill_desc_30200005			2																													1	20	18	0.9							
30200006	初级残暴	增伤+{{n1}}%	t_skill_name_30200006	t_skill_desc_30200006			2																													1	20	21	1.05							
30200007	中级残暴	增伤+{{n1}}%	t_skill_name_30200007	t_skill_desc_30200007			2																													1	20	24	1.2							
30200008	高级残暴	增伤+{{n1}}%	t_skill_name_30200008	t_skill_desc_30200008			2																													1	20	27	1.35							
30200009	特级残暴	增伤+{{n1}}%	t_skill_name_30200009	t_skill_desc_30200009			2																													1	20	30	1.5							
30200010	究极残暴	增伤+{{n1}}%	t_skill_name_30200010	t_skill_desc_30200010			2																													1	20	33	1.65							
31200006	团队残暴6	全体友军增伤+{{n1}}%	t_skill_name_31200006	t_skill_desc_31200006			2																													2	20	9	0.45							
31200007	团队残暴7	全体友军增伤+{{n1}}%	t_skill_name_31200007	t_skill_desc_31200007			2																													2	20	11	0.55							
31200008	团队残暴8	全体友军增伤+{{n1}}%	t_skill_name_31200008	t_skill_desc_31200008			2																													2	20	13	0.65							
31200009	团队残暴9	全体友军增伤+{{n1}}%	t_skill_name_31200009	t_skill_desc_31200009			2																													2	20	15	0.75							
31200010	团队残暴10	全体友军增伤+{{n1}}%	t_skill_name_31200010	t_skill_desc_31200010			2																													2	20	17	0.85							
31200011	团队残暴11	全体友军增伤+{{n1}}%	t_skill_name_31200011	t_skill_desc_31200011			2																													2	20	19	0.95							
31200012	团队残暴12	全体友军增伤+{{n1}}%	t_skill_name_31200012	t_skill_desc_31200012			2																													2	20	21	1.05							
31200013	团队残暴13	全体友军增伤+{{n1}}%	t_skill_name_31200013	t_skill_desc_31200013			2																													2	20	23	1.15							
31200014	团队残暴14	全体友军增伤+{{n1}}%	t_skill_name_31200014	t_skill_desc_31200014			2																													2	20	25	1.25							
31200015	团队残暴15	全体友军增伤+{{n1}}%	t_skill_name_31200015	t_skill_desc_31200015			2																													2	20	27	1.35							
30210001	初级减伤	减伤+{{n1}}%	t_skill_name_30210001	t_skill_desc_30210001			2																													1	21	6	0.3							
30210002	中级减伤	减伤+{{n1}}%	t_skill_name_30210002	t_skill_desc_30210002			2																													1	21	9	0.45							
30210003	高级减伤	减伤+{{n1}}%	t_skill_name_30210003	t_skill_desc_30210003			2																													1	21	12	0.6							
30210004	特级减伤	减伤+{{n1}}%	t_skill_name_30210004	t_skill_desc_30210004			2																													1	21	15	0.75							
30210005	究极减伤	减伤+{{n1}}%	t_skill_name_30210005	t_skill_desc_30210005			2																													1	21	18	0.9							
30210006	初级磐石	减伤+{{n1}}%	t_skill_name_30210006	t_skill_desc_30210006			2																													1	21	21	1.05							
30210007	中级磐石	减伤+{{n1}}%	t_skill_name_30210007	t_skill_desc_30210007			2																													1	21	24	1.2							
30210008	高级磐石	减伤+{{n1}}%	t_skill_name_30210008	t_skill_desc_30210008			2																													1	21	27	1.35							
30210009	特级磐石	减伤+{{n1}}%	t_skill_name_30210009	t_skill_desc_30210009			2																													1	21	30	1.5							
30210010	究极磐石	减伤+{{n1}}%	t_skill_name_30210010	t_skill_desc_30210010			2																													1	21	33	1.65							
31210006	团队磐石6	全体友军减伤+{{n1}}%	t_skill_name_31210006	t_skill_desc_31210006			2																													2	21	9	0.45							
31210007	团队磐石7	全体友军减伤+{{n1}}%	t_skill_name_31210007	t_skill_desc_31210007			2																													2	21	11	0.55							
31210008	团队磐石8	全体友军减伤+{{n1}}%	t_skill_name_31210008	t_skill_desc_31210008			2																													2	21	13	0.65							
31210009	团队磐石9	全体友军减伤+{{n1}}%	t_skill_name_31210009	t_skill_desc_31210009			2																													2	21	15	0.75							
31210010	团队磐石10	全体友军减伤+{{n1}}%	t_skill_name_31210010	t_skill_desc_31210010			2																													2	21	17	0.85							
31210011	团队磐石11	全体友军减伤+{{n1}}%	t_skill_name_31210011	t_skill_desc_31210011			2																													2	21	19	0.95							
31210012	团队磐石12	全体友军减伤+{{n1}}%	t_skill_name_31210012	t_skill_desc_31210012			2																													2	21	21	1.05							
31210013	团队磐石13	全体友军减伤+{{n1}}%	t_skill_name_31210013	t_skill_desc_31210013			2																													2	21	23	1.15							
31210014	团队磐石14	全体友军减伤+{{n1}}%	t_skill_name_31210014	t_skill_desc_31210014			2																													2	21	25	1.25							
31210015	团队磐石15	全体友军减伤+{{n1}}%	t_skill_name_31210015	t_skill_desc_31210015			2																													2	21	27	1.35							
30220001	初级能量	初始能量+{{n1}}	t_skill_name_30220001	t_skill_desc_30220001			2																													1	22	1								
30220002	中级能量	初始能量+{{n1}}	t_skill_name_30220002	t_skill_desc_30220002			2																													1	22	2								
30220003	高级能量	初始能量+{{n1}}	t_skill_name_30220003	t_skill_desc_30220003			2																													1	22	2								
30220004	特级能量	初始能量+{{n1}}	t_skill_name_30220004	t_skill_desc_30220004			2																													1	22	3								
30220005	究级能量	初始能量+{{n1}}	t_skill_name_30220005	t_skill_desc_30220005			2																													1	22	4								
30290006	强防6	防御+{{n1}}	t_skill_name_30290006	t_skill_desc_30290006			2																													1	29	2880	144							
30290007	强防7	防御+{{n1}}	t_skill_name_30290007	t_skill_desc_30290007			2																													1	29	3180	159							
30290008	强防8	防御+{{n1}}	t_skill_name_30290008	t_skill_desc_30290008			2																													1	29	3600	180							
30290009	强防9	防御+{{n1}}	t_skill_name_30290009	t_skill_desc_30290009			2																													1	29	4260	213							
30290010	强防10	防御+{{n1}}	t_skill_name_30290010	t_skill_desc_30290010			2																													1	29	5160	258							
30290011	强防11	防御+{{n1}}	t_skill_name_30290011	t_skill_desc_30290011			2																													1	29	6000	300							
30290012	强防12	防御+{{n1}}	t_skill_name_30290012	t_skill_desc_30290012			2																													1	29	7260	363							
30290013	强防13	防御+{{n1}}	t_skill_name_30290013	t_skill_desc_30290013			2																													1	29	8520	426							
30290014	强防14	防御+{{n1}}	t_skill_name_30290014	t_skill_desc_30290014			2																													1	29	9840	492							
30290015	强防15	防御+{{n1}}	t_skill_name_30290015	t_skill_desc_30290015			2																													1	29	11100	555							
31290006	团队强防6	全体友军防御+{{n1}}	t_skill_name_31290006	t_skill_desc_31290006			2																													2	29	960	48							
31290007	团队强防7	全体友军防御+{{n1}}	t_skill_name_31290007	t_skill_desc_31290007			2																													2	29	1060	53							
31290008	团队强防8	全体友军防御+{{n1}}	t_skill_name_31290008	t_skill_desc_31290008			2																													2	29	1200	60							
31290009	团队强防9	全体友军防御+{{n1}}	t_skill_name_31290009	t_skill_desc_31290009			2																													2	29	1420	71							
31290010	团队强防10	全体友军防御+{{n1}}	t_skill_name_31290010	t_skill_desc_31290010			2																													2	29	1720	86							
31290011	团队强防11	全体友军防御+{{n1}}	t_skill_name_31290011	t_skill_desc_31290011			2																													2	29	2000	100							
31290012	团队强防12	全体友军防御+{{n1}}	t_skill_name_31290012	t_skill_desc_31290012			2																													2	29	2420	121							
31290013	团队强防13	全体友军防御+{{n1}}	t_skill_name_31290013	t_skill_desc_31290013			2																													2	29	2840	142							
31290014	团队强防14	全体友军防御+{{n1}}	t_skill_name_31290014	t_skill_desc_31290014			2																													2	29	3280	164							
31290015	团队强防15	全体友军防御+{{n1}}	t_skill_name_31290015	t_skill_desc_31290015			2																													2	29	3700	185							
30300001	初级防御	防御+{{n1}}%	t_skill_name_30300001	t_skill_desc_30300001			2																													1	30	12	0.6							
30300002	中级防御	防御+{{n1}}%	t_skill_name_30300002	t_skill_desc_30300002			2																													1	30	18	0.9							
30300003	高级防御	防御+{{n1}}%	t_skill_name_30300003	t_skill_desc_30300003			2																													1	30	24	1.2							
30300004	特级防御	防御+{{n1}}%	t_skill_name_30300004	t_skill_desc_30300004			2																													1	30	30	1.5							
30300005	究极防御	防御+{{n1}}%	t_skill_name_30300005	t_skill_desc_30300005			2																													1	30	36	1.8							
30300006	初级壁垒	防御+{{n1}}%	t_skill_name_30300006	t_skill_desc_30300006			2																													1	30	42	2.1							
30300007	中级壁垒	防御+{{n1}}%	t_skill_name_30300007	t_skill_desc_30300007			2																													1	30	48	2.4							
30300008	高级壁垒	防御+{{n1}}%	t_skill_name_30300008	t_skill_desc_30300008			2																													1	30	54	2.7							
30300009	特级壁垒	防御+{{n1}}%	t_skill_name_30300009	t_skill_desc_30300009			2																													1	30	60	3							
30300010	究极壁垒	防御+{{n1}}%	t_skill_name_30300010	t_skill_desc_30300010			2																													1	30	66	3.3							
31300006	初级团队壁垒	全体友军防御+{{n1}}%	t_skill_name_31300006	t_skill_desc_31300006			2																													2	30	18	0.9							
31300007	中级团队壁垒	全体友军防御+{{n1}}%	t_skill_name_31300007	t_skill_desc_31300007			2																													2	30	22	1.1							
31300008	高级团队壁垒	全体友军防御+{{n1}}%	t_skill_name_31300008	t_skill_desc_31300008			2																													2	30	26	1.3							
31300009	特级团队壁垒	全体友军防御+{{n1}}%	t_skill_name_31300009	t_skill_desc_31300009			2																													2	30	30	1.5							
31300010	究极团队壁垒	全体友军防御+{{n1}}%	t_skill_name_31300010	t_skill_desc_31300010			2																													2	30	34	1.7							
20000401	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20000401	t_skill_desc_20000401	icjn_jfgj000		3																																	7	0	5	0	1	0	
20000402	生死急速	生命少于{{n5}}%时提升{{n6}}%的先攻	t_skill_name_20000402	t_skill_desc_20000402	icjn_ssjs000		3																																	2	10	50	5	0	1	
20000601	防守意识	受到攻击有{{n5}}%的概率增加{{n6}}%的物防	t_skill_name_20000601	t_skill_desc_20000601	icjn_fsys000		3																																	1	8	30	5	0	1	
20000602	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20000602	t_skill_desc_20000602	icjn_gjzt000		3																																	2	7	50	5	0	1	
20000603	怒意复仇	每当一个队友死亡时，增加{{n5}}%的物免	t_skill_name_20000603	t_skill_desc_20000603	icjn_nygj000		3																																	14	14	1	0	0.15	0	
20000701	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20000701	t_skill_desc_20000701	icjn_jfgj000		3																																	7	0	5	0	1	0	
20000702	物防诅咒	全体敌人降低{{n5}}%的物防	t_skill_name_20000702	t_skill_desc_20000702	icjn_wfzz000		3																																	4	8	-3	0	-0.3	0	
20000703	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20000703	t_skill_desc_20000703	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20000801	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20000801	t_skill_desc_20000801	icjn_rdcj000		3																																	1	11	30	5	0	1	
20000802	先攻光环	全体友军提升{{n5}}%的先攻	t_skill_name_20000802	t_skill_desc_20000802	icjn_gjzt000		3																																	3	10	3	0	0.3	0	
20000803	怒意复仇	每当一个队友死亡时，增加{{n5}}%的暴击	t_skill_name_20000803	t_skill_desc_20000803	icjn_nygj000		3																																	14	11	1	0	0.15	0	
20002301	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20002301	t_skill_desc_20002301	icjn_bdzs000		3																																	1	7	30	5	0	1	
20002302	魔防光环	全体友军提升{{n5}}%的魔防	t_skill_name_20002302	t_skill_desc_20002302	icjn_mfgh000		3																																	3	9	3	0	0.3	0	
20002401	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20002401	t_skill_desc_20002401	icjn_bdzs000		3																																	1	7	30	5	0	1	
20002402	魔防姿态	生命少于{{n5}}%时提升{{n6}}%的魔防	t_skill_name_20002402	t_skill_desc_20002402	icjn_mfzt000		3																																	2	9	50	5	0	1	
20002403	怒意复仇	每当一个队友死亡时，增加{{n5}}%的魔免	t_skill_name_20002403	t_skill_desc_20002403	icjn_nygj000		3																																	14	15	1	0	0.15	0	
20002601	料敌先机	受到攻击有{{n5}}%的概率增加{{n6}}%的格挡	t_skill_name_20002601	t_skill_desc_20002601	icjn_gjzt000		3																																	1	12	30	5	0	1	
20002602	物防姿态	生命少于{{n5}}%时提升{{n6}}%的物防	t_skill_name_20002602	t_skill_desc_20002602	icjn_wfzt000		3																																	2	8	50	5	0	1	
20002701	防守意识	受到攻击有{{n5}}%的概率增加{{n6}}%的物防	t_skill_name_20002701	t_skill_desc_20002701	icjn_gjzt000		3																																	1	8	30	5	0	1	
20002702	物防姿态	生命少于{{n5}}%时提升{{n6}}%的物防	t_skill_name_20002702	t_skill_desc_20002702	icjn_wfzt000		3																																	2	8	50	5	0	1	
20002703	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20002703	t_skill_desc_20002703	icjn_nygj000		3																																	14	7	1	0	0.3	0	
20003501	疾风攻击	攻击时有{{n5}}%概率额外攻击一次	t_skill_name_20003501	t_skill_desc_20003501	icjn_jfgj000		3																																	7	0	5	0	1	0	
20003502	魔防诅咒	全体敌人降低{{n5}}%的魔防	t_skill_name_20003502	t_skill_desc_20003502	icjn_mfzz000		3																																	4	9	-3	0	-0.3	0	
20003503	怒意复仇	每当一个队友死亡时，增加{{n5}}%的攻击	t_skill_name_20003503	t_skill_desc_20003503	icjn_nygj000		3																																	14	6	1	0	0.3	0	
20003601	拔刀之势	攻击时有{{n5}}%的概率增加{{n6}}%的攻击	t_skill_name_20003601	t_skill_desc_20003601	icjn_bdzs000		3																																	1	7	30	5	0	1	
20003602	魔防姿态	生命少于{{n5}}%时提升{{n6}}%的魔防	t_skill_name_20003602	t_skill_desc_20003602	icjn_mfzt000		3																																	2	9	50	5	0	1	
20003603	怒意复仇	每当一个队友死亡时，增加{{n5}}%的格挡	t_skill_name_20003603	t_skill_desc_20003603	icjn_nygj000		3																																	14	12	1	0	0.15	0	
20003701	魔法护甲	受到攻击有{{n5}}%的概率增加{{n6}}%的魔防	t_skill_name_20003701	t_skill_desc_20003701	icjn_gjzt000		3																																	1	9	30	5	0	1	
20003702	格挡姿态	生命少于{{n5}}%时提升{{n6}}%的格挡	t_skill_name_20003702	t_skill_desc_20003702	icjn_gdzt000		3																																	2	12	50	5	0	1	
20004101	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20004101	t_skill_desc_20004101	icjn_rdcj000		3																																	1	11	30	5	0	1	
20004102	攻击姿态	生命少于{{n5}}%时提升{{n6}}%的攻击	t_skill_name_20004102	t_skill_desc_20004102	icjn_gjzt000		3																																	2	7	50	5	0	1	
20004201	弱点察觉	攻击时有{{n5}}%的概率增加{{n6}}%的暴击	t_skill_name_20004201	t_skill_desc_20004201	icjn_rdcj000		3																																	1	11	30	5	0	1	
20004202	物防诅咒	全体敌人降低{{n5}}%的物防	t_skill_name_20004202	t_skill_desc_20004202	icjn_wfzz000		3																																	4	8	-3	0	-0.3	0	
